                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.00312500          2.00000000          0.03952847          0.00312500
          0.00625000          2.00000000          0.02096314          0.00234375
          0.00937500          2.00000000          0.03987438          0.00371094
          0.01250000          2.00000000          0.02558240          0.00300293
          0.01562500          2.00000000          0.04027229          0.00402222
          0.01875000          2.00000000          0.02770826          0.00334854
          0.02187500          2.00000000          0.04057554          0.00422077
          0.02500000          2.00000000          0.02894413          0.00356719
          0.02812500          2.00000000          0.04080295          0.00435933
          0.03125000          2.00000000          0.02975106          0.00371892
          0.03437500          2.00000000          0.04097630          0.00446138
          0.03750000          2.00000000          0.03031579          0.00383018
          0.04062500          2.00000000          0.04114227          0.00455204
          0.04375000          2.00000000          0.03083250          0.00392919
          0.04687500          2.00000000          0.04131078          0.00463768
          0.05000000          2.00000000          0.03133737          0.00402293
          0.05312500          2.00000000          0.04147850          0.00471832
          0.05625000          2.00000000          0.03182102          0.00411128
          0.05937500          2.00000000          0.04164356          0.00479413
          0.06250000          2.00000000          0.03228025          0.00419439
          0.06562500          2.00000000          0.04180477          0.00486534
          0.06875000          2.00000000          0.03271427          0.00427248
          0.07187500          2.00000000          0.04196135          0.00493219
          0.07500000          2.00000000          0.03312338          0.00434580
          0.07812500          2.00000000          0.04211276          0.00499495
          0.08125000          2.00000000          0.03350840          0.00441464
          0.08437500          2.00000000          0.04225867          0.00505385
          0.08750000          2.00000000          0.03387040          0.00447925
          0.09062500          2.00000000          0.04239888          0.00510913
          0.09375000          2.00000000          0.03421054          0.00453988
          0.09687500          2.00000000          0.04253330          0.00516102
          0.10000000          2.00000000          0.03453002          0.00459679
          0.10312500          2.00000000          0.04266190          0.00520971
          0.10625000          2.00000000          0.03483004          0.00465019
          0.10937500          2.00000000          0.04278471          0.00525542
          0.11250000          2.00000000          0.03511173          0.00470032
          0.11562500          2.00000000          0.04290183          0.00529833
          0.11875000          2.00000000          0.03537620          0.00474737
          0.12187500          2.00000000          0.04301336          0.00533861
          0.12500000          2.00000000          0.03562449          0.00479153
          0.12812500          2.00000000          0.04311945          0.00537642
          0.13125000          2.00000000          0.03585759          0.00483299
          0.13437500          2.00000000          0.04322027          0.00541192
          0.13750000          2.00000000          0.03607644          0.00487191
          0.14062500          2.00000000          0.04331597          0.00544526
          0.14375000          2.00000000          0.03628192          0.00490846
          0.14687500          2.00000000          0.04340676          0.00547657
          0.15000000          2.00000000          0.03647485          0.00494277
          0.15312500          2.00000000          0.04349282          0.00550597
          0.15625000          2.00000000          0.03665601          0.00497500
          0.15937500          2.00000000          0.04357434          0.00553358
          0.16250000          2.00000000          0.03682612          0.00500526
          0.16562500          2.00000000          0.04365151          0.00555951
          0.16875000          2.00000000          0.03698587          0.00503368
          0.17187500          2.00000000          0.04372454          0.00558387
          0.17500000          2.00000000          0.03713590          0.00506038
          0.17812500          2.00000000          0.04379360          0.00560675
          0.18125000          2.00000000          0.03727681          0.00508545
          0.18437500          2.00000000          0.04385888          0.00562825
          0.18750000          2.00000000          0.03740915          0.00510901
          0.19062500          2.00000000          0.04392057          0.00564844
          0.19375000          2.00000000          0.03753347          0.00513114
          0.19687500          2.00000000          0.04397884          0.00566742
          0.20000000          2.00000000          0.03765024          0.00515192
          0.20312500          2.00000000          0.04403387          0.00568524
          0.20625000          2.00000000          0.03775993          0.00517146
          0.20937500          2.00000000          0.04408581          0.00570199
          0.21250000          2.00000000          0.03786299          0.00518981
          0.21562500          2.00000000          0.04413483          0.00571773
          0.21875000          2.00000000          0.03795981          0.00520705
          0.22187500          2.00000000          0.04418107          0.00573252
          0.22500000          2.00000000          0.03805077          0.00522325
          0.22812500          2.00000000          0.04422470          0.00574642
          0.23125000          2.00000000          0.03813624          0.00523848
          0.23437500          2.00000000          0.04426584          0.00575948
          0.23750000          2.00000000          0.03821655          0.00525279
          0.24062500          2.00000000          0.04430462          0.00577176
          0.24375000          2.00000000          0.03829201          0.00526623
          0.24687500          2.00000000          0.04434119          0.00578330
          0.25000000          2.00000000          0.03836292          0.00527887
          0.25312500          2.00000000          0.04437565          0.00579414
          0.25625000          2.00000000          0.03842956          0.00529075
          0.25937500          2.00000000          0.04440813          0.00580433
          0.26250000          2.00000000          0.03849218          0.00530191
          0.26562500          2.00000000          0.04443873          0.00581391
          0.26875000          2.00000000          0.03855103          0.00531241
          0.27187500          2.00000000          0.04446756          0.00582292
          0.27500000          2.00000000          0.03860635          0.00532227
          0.27812500          2.00000000          0.04449472          0.00583138
          0.28125000          2.00000000          0.03865833          0.00533154
          0.28437500          2.00000000          0.04452030          0.00583934
          0.28750000          2.00000000          0.03870719          0.00534025
          0.29062500          2.00000000          0.04454439          0.00584682
          0.29375000          2.00000000          0.03875312          0.00534844
          0.29687500          2.00000000          0.04456707          0.00585385
          0.30000000          2.00000000          0.03879629          0.00535614
          0.30312500          2.00000000          0.04458844          0.00586046
          0.30625000          2.00000000          0.03883686          0.00536338
          0.30937500          2.00000000          0.04460855          0.00586668
          0.31250000          2.00000000          0.03887500          0.00537019
          0.31562500          2.00000000          0.04462748          0.00587252
          0.31875000          2.00000000          0.03891086          0.00537659
          0.32187500          2.00000000          0.04464531          0.00587801
          0.32500000          2.00000000          0.03894456          0.00538260
          0.32812500          2.00000000          0.04466209          0.00588318
          0.33125000          2.00000000          0.03897625          0.00538826
          0.33437500          2.00000000          0.04467788          0.00588803
          0.33750000          2.00000000          0.03900603          0.00539357
          0.34062500          2.00000000          0.04469275          0.00589260
          0.34375000          2.00000000          0.03903403          0.00539857
          0.34687500          2.00000000          0.04470674          0.00589689
          0.35000000          2.00000000          0.03906036          0.00540327
          0.35312500          2.00000000          0.04471991          0.00590093
          0.35625000          2.00000000          0.03908511          0.00540769
          0.35937500          2.00000000          0.04473230          0.00590472
          0.36250000          2.00000000          0.03910837          0.00541185
          0.36562500          2.00000000          0.04474396          0.00590829
          0.36875000          2.00000000          0.03913025          0.00541575
          0.37187500          2.00000000          0.04475494          0.00591164
          0.37500000          2.00000000          0.03915082          0.00541943
          0.37812500          2.00000000          0.04476526          0.00591480
          0.38125000          2.00000000          0.03917016          0.00542288
          0.38437500          2.00000000          0.04477498          0.00591776
          0.38750000          2.00000000          0.03918834          0.00542613
          0.39062500          2.00000000          0.04478412          0.00592055
          0.39375000          2.00000000          0.03920544          0.00542918
          0.39687500          2.00000000          0.04479272          0.00592318
          0.40000000          2.00000000          0.03922151          0.00543205
          0.40312500          2.00000000          0.04480081          0.00592564
          0.40625000          2.00000000          0.03923662          0.00543475
          0.40937500          2.00000000          0.04480843          0.00592796
          0.41250000          2.00000000          0.03925084          0.00543729
          0.41562500          2.00000000          0.04481559          0.00593014
          0.41875000          2.00000000          0.03926420          0.00543968
          0.42187500          2.00000000          0.04482233          0.00593219
          0.42500000          2.00000000          0.03927676          0.00544193
          0.42812500          2.00000000          0.04482867          0.00593412
          0.43125000          2.00000000          0.03928858          0.00544404
          0.43437500          2.00000000          0.04483464          0.00593594
          0.43750000          2.00000000          0.03929969          0.00544602
          0.44062500          2.00000000          0.04484025          0.00593764
          0.44375000          2.00000000          0.03931014          0.00544789
          0.44687500          2.00000000          0.04484553          0.00593925
          0.45000000          2.00000000          0.03931996          0.00544965
          0.45312500          2.00000000          0.04485049          0.00594075
          0.45625000          2.00000000          0.03932920          0.00545130
          0.45937500          2.00000000          0.04485516          0.00594217
          0.46250000          2.00000000          0.03933789          0.00545285
          0.46562500          2.00000000          0.04485956          0.00594351
          0.46875000          2.00000000          0.03934606          0.00545431
          0.47187500          2.00000000          0.04486369          0.00594476
          0.47500000          2.00000000          0.03935374          0.00545568
          0.47812500          2.00000000          0.04486758          0.00594594
          0.48125000          2.00000000          0.03936097          0.00545698
          0.48437500          2.00000000          0.04487124          0.00594705
          0.48750000          2.00000000          0.03936776          0.00545819
          0.49062500          2.00000000          0.04487468          0.00594810
          0.49375000          2.00000000          0.03937415          0.00545933
          0.49687500          2.00000000          0.04487792          0.00594908
          0.50000000          2.00000000          0.03938016          0.00546041
          0.50312500          2.00000000          0.04488096          0.00595000
          0.50625000          2.00000000          0.03938581          0.00546142
          0.50937500          2.00000000          0.04488383          0.00595087
          0.51250000          2.00000000          0.03939112          0.00546237
          0.51562500          2.00000000          0.04488652          0.00595168
          0.51875000          2.00000000          0.03939612          0.00546326
          0.52187500          2.00000000          0.04488905          0.00595245
          0.52500000          2.00000000          0.03940082          0.00546410
          0.52812500          2.00000000          0.04489144          0.00595318
          0.53125000          2.00000000          0.03940524          0.00546489
          0.53437500          2.00000000          0.04489368          0.00595385
          0.53750000          2.00000000          0.03940940          0.00546564
          0.54062500          2.00000000          0.04489579          0.00595449
          0.54375000          2.00000000          0.03941331          0.00546634
          0.54687500          2.00000000          0.04489777          0.00595509
          0.55000000          2.00000000          0.03941698          0.00546700
          0.55312500          2.00000000          0.04489964          0.00595566
          0.55625000          2.00000000          0.03942044          0.00546761
          0.55937500          2.00000000          0.04490139          0.00595619
          0.56250000          2.00000000          0.03942370          0.00546820
          0.56562500          2.00000000          0.04490304          0.00595669
          0.56875000          2.00000000          0.03942675          0.00546874
          0.57187500          2.00000000          0.04490460          0.00595716
          0.57500000          2.00000000          0.03942963          0.00546926
          0.57812500          2.00000000          0.04490606          0.00595760
          0.58125000          2.00000000          0.03943234          0.00546974
          0.58437500          2.00000000          0.04490743          0.00595802
          0.58750000          2.00000000          0.03943488          0.00547020
          0.59062500          2.00000000          0.04490872          0.00595841
          0.59375000          2.00000000          0.03943727          0.00547063
          0.59687500          2.00000000          0.04490994          0.00595878
          0.60000000          2.00000000          0.03943953          0.00547103
          0.60312500          2.00000000          0.04491108          0.00595912
          0.60625000          2.00000000          0.03944164          0.00547141
          0.60937500          2.00000000          0.04491216          0.00595945
          0.61250000          2.00000000          0.03944363          0.00547176
          0.61562500          2.00000000          0.04491317          0.00595976
          0.61875000          2.00000000          0.03944551          0.00547210
          0.62187500          2.00000000          0.04491412          0.00596004
          0.62500000          2.00000000          0.03944727          0.00547241
          0.62812500          2.00000000          0.04491502          0.00596032
          0.63125000          2.00000000          0.03944892          0.00547271
          0.63437500          2.00000000          0.04491586          0.00596057
