                   x         u_numerical        u_analytical
         -0.99687500          0.00000000          0.00000000
         -0.99062500          0.00000000          0.00000000
         -0.98437500          0.00000000          0.00000000
         -0.97812500          0.00000000          0.00000000
         -0.97187500          0.00000000          0.00000000
         -0.96562500          0.00000000          0.00000000
         -0.95937500          0.00000000          0.00000000
         -0.95312500          0.00000000          0.00000000
         -0.94687500          0.00000000          0.00000000
         -0.94062500          0.00000000          0.00000000
         -0.93437500          0.00000000          0.00000000
         -0.92812500          0.00000000          0.00000000
         -0.92187500          0.00000000          0.00000000
         -0.91562500          0.00000000          0.00000000
         -0.90937500          0.00000000          0.00000000
         -0.90312500          0.00000000          0.00000000
         -0.89687500          0.00000000          0.00000000
         -0.89062500          0.00000000          0.00000000
         -0.88437500          0.00000000          0.00000000
         -0.87812500          0.00000000          0.00000000
         -0.87187500          0.00000000          0.00000000
         -0.86562500          0.00000000          0.00000000
         -0.85937500          0.00000000          0.00000000
         -0.85312500          0.00000000          0.00000000
         -0.84687500          0.00000000          0.00000000
         -0.84062500          0.00000000          0.00000000
         -0.83437500          0.00000000          0.00000000
         -0.82812500          0.00000000          0.00000000
         -0.82187500          0.00000000          0.00000000
         -0.81562500          0.00000000          0.00000000
         -0.80937500          0.00000000          0.00000000
         -0.80312500          0.00000000          0.00000000
         -0.79687500          0.00000000          0.00000000
         -0.79062500          0.00000000          0.00000000
         -0.78437500          0.00000000          0.00000000
         -0.77812500          0.00000000          0.00000000
         -0.77187500          0.00000000          0.00000000
         -0.76562500          0.00000000          0.00000000
         -0.75937500          0.00000000          0.00000000
         -0.75312500          0.00000000          0.00000000
         -0.74687500          0.00000000          0.00000000
         -0.74062500          0.00000000          0.00000000
         -0.73437500          0.00000000          0.00000000
         -0.72812500          0.00000000          0.00000000
         -0.72187500          0.00000000          0.00000000
         -0.71562500          0.00000000          0.00000000
         -0.70937500          0.00000000          0.00000000
         -0.70312500          0.00000000          0.00000000
         -0.69687500          0.00000000          0.00000000
         -0.69062500          0.00000000          0.00000000
         -0.68437500          0.00000000          0.00000000
         -0.67812500          0.00000000          0.00000000
         -0.67187500          0.00000000          0.00000000
         -0.66562500          0.00000000          0.00000000
         -0.65937500          0.00000000          0.00000000
         -0.65312500          0.00000000          0.00000000
         -0.64687500          0.00000000          0.00000000
         -0.64062500          0.00000000          0.00000000
         -0.63437500          0.00000000          0.00000000
         -0.62812500          0.00000000          0.00000000
         -0.62187500          0.00000000          0.00000000
         -0.61562500          0.00000000          0.00000000
         -0.60937500          0.00000000          0.00000000
         -0.60312500          0.00000000          0.00000000
         -0.59687500          0.00000000          0.00000000
         -0.59062500          0.00000000          0.00000000
         -0.58437500          0.00000000          0.00000000
         -0.57812500          0.00000000          0.00000000
         -0.57187500          0.00000000          0.00000000
         -0.56562500          0.00000001          0.00000000
         -0.55937500          0.00000004          0.00000000
         -0.55312500          0.00000026          0.00000000
         -0.54687500          0.00000153          0.00000000
         -0.54062500          0.00000890          0.00000000
         -0.53437500          0.00005187          0.00000000
         -0.52812500          0.00030233          0.00000000
         -0.52187500          0.00176208          0.00000000
         -0.51562500          0.01027008          0.00000000
         -0.50937500          0.05985830          0.00000000
         -0.50312500          0.27980210          0.00000000
         -0.49687500          0.58153484          1.00000000
         -0.49062500          0.86411842          1.00000000
         -0.48437500          0.97668643          1.00000000
         -0.47812500          0.99600004          1.00000000
         -0.47187500          0.99931372          1.00000000
         -0.46562500          0.99988225          1.00000000
         -0.45937500          0.99997980          1.00000000
         -0.45312500          0.99999653          1.00000000
         -0.44687500          0.99999941          1.00000000
         -0.44062500          0.99999990          1.00000000
         -0.43437500          0.99999998          1.00000000
         -0.42812500          1.00000000          1.00000000
         -0.42187500          1.00000000          1.00000000
         -0.41562500          1.00000000          1.00000000
         -0.40937500          1.00000000          1.00000000
         -0.40312500          1.00000000          1.00000000
         -0.39687500          1.00000000          1.00000000
         -0.39062500          1.00000000          1.00000000
         -0.38437500          1.00000000          1.00000000
         -0.37812500          1.00000000          1.00000000
         -0.37187500          1.00000000          1.00000000
         -0.36562500          1.00000000          1.00000000
         -0.35937500          1.00000000          1.00000000
         -0.35312500          1.00000000          1.00000000
         -0.34687500          1.00000000          1.00000000
         -0.34062500          1.00000000          1.00000000
         -0.33437500          1.00000000          1.00000000
         -0.32812500          1.00000000          1.00000000
         -0.32187500          1.00000000          1.00000000
         -0.31562500          1.00000000          1.00000000
         -0.30937500          1.00000000          1.00000000
         -0.30312500          1.00000000          1.00000000
         -0.29687500          1.00000000          1.00000000
         -0.29062500          1.00000000          1.00000000
         -0.28437500          1.00000000          1.00000000
         -0.27812500          1.00000000          1.00000000
         -0.27187500          1.00000000          1.00000000
         -0.26562500          1.00000000          1.00000000
         -0.25937500          1.00000000          1.00000000
         -0.25312500          1.00000000          1.00000000
         -0.24687500          1.00000000          1.00000000
         -0.24062500          1.00000000          1.00000000
         -0.23437500          1.00000000          1.00000000
         -0.22812500          1.00000000          1.00000000
         -0.22187500          1.00000000          1.00000000
         -0.21562500          1.00000000          1.00000000
         -0.20937500          1.00000000          1.00000000
         -0.20312500          1.00000000          1.00000000
         -0.19687500          1.00000000          1.00000000
         -0.19062500          1.00000000          1.00000000
         -0.18437500          1.00000000          1.00000000
         -0.17812500          1.00000000          1.00000000
         -0.17187500          1.00000000          1.00000000
         -0.16562500          1.00000000          1.00000000
         -0.15937500          1.00000000          1.00000000
         -0.15312500          1.00000000          1.00000000
         -0.14687500          1.00000000          1.00000000
         -0.14062500          1.00000000          1.00000000
         -0.13437500          1.00000000          1.00000000
         -0.12812500          1.00000000          1.00000000
         -0.12187500          1.00000000          1.00000000
         -0.11562500          1.00000000          1.00000000
         -0.10937500          1.00000000          1.00000000
         -0.10312500          1.00000000          1.00000000
         -0.09687500          1.00000000          1.00000000
         -0.09062500          1.00000000          1.00000000
         -0.08437500          1.00000000          1.00000000
         -0.07812500          1.00000000          1.00000000
         -0.07187500          1.00000000          1.00000000
         -0.06562500          1.00000000          1.00000000
         -0.05937500          1.00000000          1.00000000
         -0.05312500          1.00000000          1.00000000
         -0.04687500          1.00000000          1.00000000
         -0.04062500          1.00000000          1.00000000
         -0.03437500          1.00000000          1.00000000
         -0.02812500          1.00000000          1.00000000
         -0.02187500          1.00000000          1.00000000
         -0.01562500          1.00000000          1.00000000
         -0.00937500          1.00000000          1.00000000
         -0.00312500          1.00000000          1.00000000
          0.00312500          1.00000000          1.00000000
          0.00937500          1.00000000          1.00000000
          0.01562500          1.00000000          1.00000000
          0.02187500          1.00000000          1.00000000
          0.02812500          1.00000000          1.00000000
          0.03437500          1.00000000          1.00000000
          0.04062500          1.00000000          1.00000000
          0.04687500          1.00000000          1.00000000
          0.05312500          1.00000000          1.00000000
          0.05937500          1.00000000          1.00000000
          0.06562500          1.00000000          1.00000000
          0.07187500          1.00000000          1.00000000
          0.07812500          1.00000000          1.00000000
          0.08437500          1.00000000          1.00000000
          0.09062500          1.00000000          1.00000000
          0.09687500          1.00000000          1.00000000
          0.10312500          1.00000000          1.00000000
          0.10937500          1.00000000          1.00000000
          0.11562500          1.00000000          1.00000000
          0.12187500          1.00000000          1.00000000
          0.12812500          1.00000000          1.00000000
          0.13437500          1.00000000          1.00000000
          0.14062500          1.00000000          1.00000000
          0.14687500          1.00000000          1.00000000
          0.15312500          1.00000000          1.00000000
          0.15937500          1.00000000          1.00000000
          0.16562500          1.00000000          1.00000000
          0.17187500          1.00000000          1.00000000
          0.17812500          1.00000000          1.00000000
          0.18437500          1.00000000          1.00000000
          0.19062500          1.00000000          1.00000000
          0.19687500          1.00000000          1.00000000
          0.20312500          1.00000000          1.00000000
          0.20937500          1.00000000          1.00000000
          0.21562500          1.00000000          1.00000000
          0.22187500          1.00000000          1.00000000
          0.22812500          1.00000000          1.00000000
          0.23437500          1.00000000          1.00000000
          0.24062500          1.00000000          1.00000000
          0.24687500          1.00000000          1.00000000
          0.25312500          1.00000000          1.00000000
          0.25937500          1.00000000          1.00000000
          0.26562500          1.00000000          1.00000000
          0.27187500          1.00000000          1.00000000
          0.27812500          1.00000000          1.00000000
          0.28437500          1.00000000          1.00000000
          0.29062500          1.00000000          1.00000000
          0.29687500          1.00000000          1.00000000
          0.30312500          1.00000000          1.00000000
          0.30937500          1.00000000          1.00000000
          0.31562500          1.00000000          1.00000000
          0.32187500          1.00000000          1.00000000
          0.32812500          1.00000000          1.00000000
          0.33437500          1.00000000          1.00000000
          0.34062500          1.00000000          1.00000000
          0.34687500          1.00000000          1.00000000
          0.35312500          1.00000000          1.00000000
          0.35937500          1.00000000          1.00000000
          0.36562500          1.00000000          1.00000000
          0.37187500          1.00000000          1.00000000
          0.37812500          1.00000000          1.00000000
          0.38437500          1.00000000          1.00000000
          0.39062500          1.00000000          1.00000000
          0.39687500          1.00000000          1.00000000
          0.40312500          1.00000000          1.00000000
          0.40937500          1.00000000          1.00000000
          0.41562500          1.00000000          1.00000000
          0.42187500          1.00000000          1.00000000
          0.42812500          1.00000000          1.00000000
          0.43437500          0.99999999          1.00000000
          0.44062500          0.99999996          1.00000000
          0.44687500          0.99999974          1.00000000
          0.45312500          0.99999848          1.00000000
          0.45937500          0.99999115          1.00000000
          0.46562500          0.99994840          1.00000000
          0.47187500          0.99969926          1.00000000
          0.47812500          0.99824715          1.00000000
          0.48437500          0.98978363          1.00000000
          0.49062500          0.94045466          1.00000000
          0.49687500          0.72098234          1.00000000
          0.50312500          0.41811379          0.00000000
          0.50937500          0.13503079          0.00000000
          0.51562500          0.02316762          0.00000000
          0.52187500          0.00397494          0.00000000
          0.52812500          0.00068199          0.00000000
          0.53437500          0.00011701          0.00000000
          0.54062500          0.00002008          0.00000000
          0.54687500          0.00000344          0.00000000
          0.55312500          0.00000059          0.00000000
          0.55937500          0.00000010          0.00000000
          0.56562500          0.00000002          0.00000000
          0.57187500          0.00000000          0.00000000
          0.57812500          0.00000000          0.00000000
          0.58437500          0.00000000          0.00000000
          0.59062500          0.00000000          0.00000000
          0.59687500          0.00000000          0.00000000
          0.60312500          0.00000000          0.00000000
          0.60937500          0.00000000          0.00000000
          0.61562500          0.00000000          0.00000000
          0.62187500          0.00000000          0.00000000
          0.62812500          0.00000000          0.00000000
          0.63437500          0.00000000          0.00000000
          0.64062500          0.00000000          0.00000000
          0.64687500          0.00000000          0.00000000
          0.65312500          0.00000000          0.00000000
          0.65937500          0.00000000          0.00000000
          0.66562500          0.00000000          0.00000000
          0.67187500          0.00000000          0.00000000
          0.67812500          0.00000000          0.00000000
          0.68437500          0.00000000          0.00000000
          0.69062500          0.00000000          0.00000000
          0.69687500          0.00000000          0.00000000
          0.70312500          0.00000000          0.00000000
          0.70937500          0.00000000          0.00000000
          0.71562500          0.00000000          0.00000000
          0.72187500          0.00000000          0.00000000
          0.72812500          0.00000000          0.00000000
          0.73437500          0.00000000          0.00000000
          0.74062500          0.00000000          0.00000000
          0.74687500          0.00000000          0.00000000
          0.75312500          0.00000000          0.00000000
          0.75937500          0.00000000          0.00000000
          0.76562500          0.00000000          0.00000000
          0.77187500          0.00000000          0.00000000
          0.77812500          0.00000000          0.00000000
          0.78437500          0.00000000          0.00000000
          0.79062500          0.00000000          0.00000000
          0.79687500          0.00000000          0.00000000
          0.80312500          0.00000000          0.00000000
          0.80937500          0.00000000          0.00000000
          0.81562500          0.00000000          0.00000000
          0.82187500          0.00000000          0.00000000
          0.82812500          0.00000000          0.00000000
          0.83437500          0.00000000          0.00000000
          0.84062500          0.00000000          0.00000000
          0.84687500          0.00000000          0.00000000
          0.85312500          0.00000000          0.00000000
          0.85937500          0.00000000          0.00000000
          0.86562500          0.00000000          0.00000000
          0.87187500          0.00000000          0.00000000
          0.87812500          0.00000000          0.00000000
          0.88437500          0.00000000          0.00000000
          0.89062500          0.00000000          0.00000000
          0.89687500          0.00000000          0.00000000
          0.90312500          0.00000000          0.00000000
          0.90937500          0.00000000          0.00000000
          0.91562500          0.00000000          0.00000000
          0.92187500          0.00000000          0.00000000
          0.92812500          0.00000000          0.00000000
          0.93437500          0.00000000          0.00000000
          0.94062500          0.00000000          0.00000000
          0.94687500          0.00000000          0.00000000
          0.95312500          0.00000000          0.00000000
          0.95937500          0.00000000          0.00000000
          0.96562500          0.00000000          0.00000000
          0.97187500          0.00000000          0.00000000
          0.97812500          0.00000000          0.00000000
          0.98437500          0.00000000          0.00000000
          0.99062500          0.00000000          0.00000000
          0.99687500          0.00000000          0.00000000
