                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.00625000          2.00000000          0.05590170          0.00625000
          0.01250000          2.00000000          0.02964635          0.00468750
          0.01875000          2.00000000          0.05639088          0.00742187
          0.02500000          2.00000000          0.03617897          0.00600586
          0.03125000          2.00000000          0.05695362          0.00804443
          0.03750000          2.00000000          0.03918539          0.00669708
          0.04375000          2.00000000          0.05738248          0.00844154
          0.05000000          2.00000000          0.04093319          0.00713439
          0.05625000          2.00000000          0.05770409          0.00871867
          0.06250000          2.00000000          0.04207436          0.00743783
          0.06875000          2.00000000          0.05794924          0.00892275
          0.07500000          2.00000000          0.04287300          0.00766035
          0.08125000          2.00000000          0.05818395          0.00910408
          0.08750000          2.00000000          0.04360373          0.00785839
          0.09375000          2.00000000          0.05842226          0.00927537
          0.10000000          2.00000000          0.04431773          0.00804586
          0.10625000          2.00000000          0.05865946          0.00943664
          0.11250000          2.00000000          0.04500172          0.00822256
          0.11875000          2.00000000          0.05889289          0.00958826
          0.12500000          2.00000000          0.04565117          0.00838878
          0.13125000          2.00000000          0.05912088          0.00973067
          0.13750000          2.00000000          0.04626496          0.00854495
          0.14375000          2.00000000          0.05934231          0.00986439
          0.15000000          2.00000000          0.04684353          0.00869161
          0.15625000          2.00000000          0.05955643          0.00998990
          0.16250000          2.00000000          0.04738803          0.00882928
          0.16875000          2.00000000          0.05976278          0.01010771
          0.17500000          2.00000000          0.04789997          0.00895849
          0.18125000          2.00000000          0.05996108          0.01021827
          0.18750000          2.00000000          0.04838101          0.00907976
          0.19375000          2.00000000          0.06015117          0.01032204
          0.20000000          2.00000000          0.04883283          0.00919357
          0.20625000          2.00000000          0.06033303          0.01041943
          0.21250000          2.00000000          0.04925711          0.00930038
          0.21875000          2.00000000          0.06050672          0.01051084
          0.22500000          2.00000000          0.04965548          0.00940063
          0.23125000          2.00000000          0.06067235          0.01059666
          0.23750000          2.00000000          0.05002950          0.00949473
          0.24375000          2.00000000          0.06083008          0.01067721
          0.25000000          2.00000000          0.05038064          0.00958306
          0.25625000          2.00000000          0.06098011          0.01075284
          0.26250000          2.00000000          0.05071029          0.00966598
          0.26875000          2.00000000          0.06112269          0.01082385
          0.27500000          2.00000000          0.05101980          0.00974382
          0.28125000          2.00000000          0.06125804          0.01089052
          0.28750000          2.00000000          0.05131039          0.00981692
          0.29375000          2.00000000          0.06138643          0.01095313
          0.30000000          2.00000000          0.05158323          0.00988555
          0.30625000          2.00000000          0.06150813          0.01101193
          0.31250000          2.00000000          0.05183943          0.00995000
          0.31875000          2.00000000          0.06162342          0.01106715
          0.32500000          2.00000000          0.05208000          0.01001052
          0.33125000          2.00000000          0.06173256          0.01111902
          0.33750000          2.00000000          0.05230592          0.01006737
          0.34375000          2.00000000          0.06183583          0.01116774
          0.35000000          2.00000000          0.05251810          0.01012076
          0.35625000          2.00000000          0.06193350          0.01121350
